frame,track_id,x_center,y_center,width,height,class_id,confidence
0,1,700.9385986328125,338.9609375,214.736572265625,271.0863037109375,8,0.8925610184669495
1,1,713.9779052734375,342.4725341796875,212.81463623046875,274.2309875488281,8,0.8952685594558716
2,1,721.4619140625,352.4978332519531,213.1192626953125,281.11346435546875,8,0.8672337532043457
3,1,730.2489013671875,357.72100830078125,212.92901611328125,284.0453186035156,8,0.884003758430481
4,1,739.76025390625,366.5872497558594,217.43316650390625,286.88037109375,8,0.9082950353622437
5,1,745.852294921875,371.94879150390625,216.42718505859375,287.6373596191406,8,0.9153139591217041
6,1,750.1483764648438,381.5579528808594,216.0535888671875,291.28704833984375,8,0.8828652501106262
7,1,757.68017578125,389.5236511230469,217.8760986328125,300.84466552734375,8,0.9204502701759338
8,1,763.2056274414062,394.25531005859375,219.3189697265625,303.3320007324219,8,0.8985795974731445
9,1,763.114990234375,401.4861145019531,222.48077392578125,310.01507568359375,8,0.9237830638885498
10,1,759.806640625,410.3711242675781,230.5498046875,310.02032470703125,8,0.9054073095321655
11,1,757.4444580078125,419.217041015625,228.43634033203125,313.9335021972656,8,0.9149041771888733
12,1,752.1445922851562,424.51202392578125,229.8861083984375,314.2131652832031,8,0.8880717754364014
13,1,745.0947265625,429.9823303222656,226.12884521484375,313.30682373046875,8,0.870387077331543
14,1,736.0087890625,435.6342468261719,230.47662353515625,318.56463623046875,8,0.901791512966156
15,1,725.7764282226562,441.47039794921875,234.0,321.2369384765625,8,0.8925549387931824
16,1,711.4490356445312,450.74652099609375,236.873046875,325.7738037109375,8,0.9028576016426086
17,1,701.1031494140625,457.48663330078125,237.44873046875,328.4452209472656,8,0.8813631534576416
18,1,691.5890502929688,463.97674560546875,237.7451171875,338.1760559082031,8,0.9169055819511414
19,1,677.9310302734375,467.7934265136719,240.14935302734375,338.45111083984375,8,0.9131278395652771
20,1,666.740966796875,470.2494201660156,240.85931396484375,342.28546142578125,8,0.9018314480781555
21,1,652.9815673828125,474.423583984375,243.92315673828125,344.4508972167969,8,0.9040347337722778
22,1,635.537353515625,479.3689270019531,248.64910888671875,350.06134033203125,8,0.9127444624900818
23,1,619.4380493164062,480.5850524902344,252.85305786132812,355.81036376953125,8,0.89859539270401
24,1,604.5379028320312,481.2711181640625,254.1273193359375,354.9190979003906,8,0.9233091473579407
25,1,590.6919555664062,483.48992919921875,256.0177307128906,363.3796081542969,8,0.9071277976036072
26,1,579.5059204101562,479.340576171875,255.6119384765625,373.1986083984375,8,0.9005770087242126
27,1,562.78857421875,477.18084716796875,260.8696594238281,374.5873107910156,8,0.910546600818634
28,1,553.8441162109375,477.16278076171875,259.6510314941406,372.5666809082031,8,0.9218357801437378
29,1,543.2608642578125,481.14117431640625,261.3786926269531,378.0986633300781,8,0.9070722460746765
30,1,532.1573486328125,481.91937255859375,262.0352783203125,380.8827209472656,8,0.8915188908576965
31,1,516.8283081054688,482.9866027832031,268.6695556640625,386.81341552734375,8,0.9293635487556458
32,1,506.909912109375,484.2708740234375,272.1872253417969,388.9021911621094,8,0.9248027205467224
33,1,498.12237548828125,485.650634765625,270.8802185058594,393.13671875,8,0.9180064797401428
34,1,487.5613708496094,489.30816650390625,275.64044189453125,394.4903564453125,8,0.8954747915267944
35,1,475.7535095214844,491.6422119140625,279.43560791015625,398.978515625,8,0.8905860185623169
36,1,466.48834228515625,494.96026611328125,275.6507568359375,402.6871643066406,8,0.9216373562812805
37,1,457.2474060058594,498.56048583984375,278.67437744140625,406.8829650878906,8,0.921115517616272
38,1,452.05914306640625,499.7645263671875,281.5628967285156,409.6113586425781,8,0.9113447666168213
39,1,446.24591064453125,498.225830078125,278.7302551269531,419.52587890625,8,0.9254636764526367
40,1,444.93048095703125,493.4827880859375,276.7747802734375,424.440185546875,8,0.9126241207122803
41,1,442.3111267089844,490.06488037109375,276.19342041015625,426.0892028808594,8,0.9154471158981323
42,1,431.8861083984375,489.8226318359375,284.6261901855469,421.2918395996094,8,0.9226260185241699
43,1,427.1466064453125,487.0842590332031,287.9364318847656,419.25213623046875,8,0.9256123304367065
44,1,424.49664306640625,482.99774169921875,295.5487365722656,423.649169921875,8,0.9022255539894104
45,1,426.7254638671875,477.01202392578125,297.0263671875,427.746826171875,8,0.895540714263916
46,1,429.02532958984375,466.46343994140625,295.4065246582031,433.0072021484375,8,0.8939618468284607
47,1,426.77825927734375,461.58172607421875,293.1036376953125,434.8115234375,8,0.8990672826766968
48,1,424.41851806640625,456.4961242675781,297.2091979980469,434.77349853515625,8,0.9413986206054688
49,1,421.82745361328125,452.0294189453125,299.5892639160156,436.9294738769531,8,0.9361461400985718
50,1,417.6889343261719,447.1439208984375,303.92413330078125,438.7962646484375,8,0.9213434457778931
51,1,412.328857421875,441.64727783203125,303.0569763183594,438.2432861328125,8,0.9030730724334717
52,1,403.0276794433594,432.23577880859375,308.15875244140625,444.9139099121094,8,0.9134785532951355
53,1,398.57415771484375,427.4365234375,312.3153076171875,451.3547058105469,8,0.9149281978607178
54,1,393.50927734375,423.87359619140625,318.8012390136719,457.7760925292969,8,0.9184697866439819
55,1,387.80047607421875,418.975341796875,321.102783203125,466.3525390625,8,0.9092782139778137
56,1,385.4477844238281,413.03924560546875,328.58172607421875,467.7072448730469,8,0.8951016664505005
57,1,385.3165588378906,402.93603515625,328.65557861328125,462.80615234375,8,0.9045240879058838
58,1,384.1349792480469,391.6299743652344,335.59527587890625,467.37164306640625,8,0.9099268317222595
59,1,386.5107116699219,383.84991455078125,338.83233642578125,465.7798767089844,8,0.9038763642311096
60,1,393.58612060546875,373.7764892578125,338.74169921875,464.1865234375,8,0.9038035273551941
61,1,402.26593017578125,359.04644775390625,341.9186706542969,462.044677734375,8,0.9009531140327454
62,1,407.1261291503906,341.852783203125,341.88568115234375,460.5201721191406,8,0.9093442559242249
63,1,412.18194580078125,327.2055358886719,339.3702087402344,464.29412841796875,8,0.8948431611061096
64,1,423.4454040527344,315.3827819824219,337.99066162109375,460.6211242675781,8,0.8993330597877502
65,1,431.48846435546875,304.7762756347656,338.4583740234375,461.1335754394531,8,0.8954963088035583
66,1,435.76312255859375,294.3048095703125,341.4708251953125,456.5048828125,8,0.9089544415473938
67,1,438.68310546875,282.0316467285156,344.00341796875,453.25982666015625,8,0.9061722755432129
68,1,437.36859130859375,271.1824951171875,347.4717712402344,452.09429931640625,8,0.9151144623756409
69,1,436.3189697265625,260.73065185546875,344.0775451660156,450.93316650390625,8,0.9049476981163025
70,1,429.2299499511719,251.29608154296875,349.27044677734375,446.60430908203125,8,0.9156380295753479
71,1,418.7511901855469,243.7804412841797,362.27557373046875,445.1900939941406,8,0.9081761837005615
72,1,404.28857421875,234.28158569335938,371.7995300292969,448.30157470703125,8,0.9022520184516907
73,1,375.42486572265625,222.1632537841797,397.1131896972656,444.3265075683594,8,0.9039856195449829
74,1,359.9658203125,219.76620483398438,411.04638671875,439.53240966796875,8,0.9090792536735535
75,1,353.2412109375,219.39987182617188,411.03125,438.79974365234375,8,0.9042139649391174
76,1,346.248291015625,217.92356872558594,402.0086975097656,435.8471374511719,8,0.9043075442314148
77,1,340.5695495605469,216.0718994140625,384.54876708984375,432.143798828125,8,0.9068604707717896
78,1,330.4022521972656,212.64955139160156,378.60992431640625,425.2991027832031,8,0.9147405624389648
79,1,311.1228332519531,213.45266723632812,383.16864013671875,425.7373046875,8,0.9030604362487793
80,1,295.7201843261719,217.5172119140625,387.85296630859375,431.08917236328125,8,0.9069424271583557
81,1,278.9741516113281,219.70419311523438,394.7837219238281,433.18438720703125,8,0.9058858156204224
