epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,824.328,1.08096,0.95895,1.40949,0.83261,0.72574,0.75514,0.57836,1.00079,0.98369,1.34529,0.000528331,0.000528331,0.000528331
44,843.699,0.99857,0.881,1.33153,0.79395,0.77062,0.79391,0.59913,1.02483,0.95252,1.39756,0.000525029,0.000525029,0.000525029
45,862.557,1.00869,0.88829,1.37729,0.81587,0.74899,0.80013,0.60599,1.01116,0.94824,1.35117,0.000521727,0.000521727,0.000521727
46,881.295,0.99613,0.8545,1.34193,0.69683,0.76644,0.73612,0.54949,1.12537,1.04515,1.48358,0.000518426,0.000518426,0.000518426
47,900.396,1.04938,0.92178,1.37919,0.83377,0.69692,0.76879,0.58927,1.03354,0.93333,1.3462,0.000515124,0.000515124,0.000515124
48,918.541,1.03044,0.88043,1.38862,0.85812,0.76992,0.88433,0.62623,0.94868,0.82801,1.30281,0.000511822,0.000511822,0.000511822
49,937.723,1.00038,0.87257,1.36634,0.83387,0.75683,0.8272,0.59989,1.00559,0.81919,1.3561,0.000508521,0.000508521,0.000508521
50,956.424,1.01895,0.86653,1.36684,0.79609,0.76633,0.82998,0.58994,1.03836,0.94891,1.3732,0.000505219,0.000505219,0.000505219
51,975.852,1.0197,0.84869,1.35242,0.91303,0.76798,0.91048,0.63191,0.93503,0.80866,1.29838,0.000501917,0.000501917,0.000501917
52,994.584,0.94363,0.82153,1.27291,0.9161,0.75746,0.81803,0.60846,0.98607,0.87808,1.35286,0.000498616,0.000498616,0.000498616
53,1014.48,0.96152,0.80357,1.32897,0.93986,0.7676,0.86919,0.64745,0.95429,0.7661,1.29324,0.000495314,0.000495314,0.000495314
54,1033.49,1.0282,0.86871,1.36821,0.94204,0.75185,0.91356,0.63012,0.98588,0.82923,1.32609,0.000492013,0.000492013,0.000492013
55,1052.12,0.93597,0.7694,1.28887,0.90143,0.76953,0.88152,0.65264,0.91082,0.77506,1.27441,0.000488711,0.000488711,0.000488711
56,1071.67,0.93884,0.79632,1.30594,0.88832,0.78121,0.82918,0.62469,0.89596,0.73745,1.25017,0.000485409,0.000485409,0.000485409
57,1090.21,0.92821,0.77317,1.25856,0.96768,0.79641,0.9173,0.66623,0.90058,0.72837,1.26963,0.000482108,0.000482108,0.000482108
58,1109.91,0.91742,0.72769,1.26807,0.93877,0.7532,0.8729,0.66514,0.89416,0.70403,1.27125,0.000478806,0.000478806,0.000478806
59,1128.53,0.94902,0.77969,1.30281,0.76797,0.82819,0.84773,0.62899,0.95645,0.81537,1.32218,0.000475504,0.000475504,0.000475504
60,1148.15,0.91233,0.7544,1.26249,0.81503,0.89582,0.90365,0.70331,0.87822,0.6703,1.23336,0.000472203,0.000472203,0.000472203
61,1166.76,0.92063,0.74847,1.28143,0.92179,0.83928,0.88479,0.69175,0.82659,0.63407,1.2014,0.000468901,0.000468901,0.000468901
62,1186.25,0.92819,0.74351,1.27761,0.86959,0.87968,0.89263,0.7165,0.82807,0.62982,1.20845,0.000465599,0.000465599,0.000465599
63,1205.43,0.92836,0.74715,1.27418,0.92747,0.85387,0.87174,0.67004,0.86045,0.64473,1.219,0.000462298,0.000462298,0.000462298
64,1224.7,0.8611,0.7029,1.23363,0.92355,0.86407,0.86502,0.66284,0.85051,0.66264,1.2414,0.000458996,0.000458996,0.000458996
65,1242.94,0.86589,0.69262,1.23946,0.9116,0.88201,0.8858,0.67818,0.8644,0.66804,1.20999,0.000455694,0.000455694,0.000455694
66,1261.72,0.85989,0.74294,1.21407,0.91703,0.84323,0.8963,0.69784,0.84364,0.65618,1.20999,0.000452393,0.000452393,0.000452393
67,1280.85,0.87892,0.69894,1.2418,0.84323,0.8769,0.88043,0.71187,0.80753,0.56299,1.18557,0.000449091,0.000449091,0.000449091
68,1299.3,0.85278,0.66266,1.20382,0.92299,0.86913,0.88159,0.68852,0.87513,0.64354,1.22623,0.000445789,0.000445789,0.000445789
69,1318.29,0.83915,0.70046,1.19906,0.9438,0.86003,0.89998,0.71162,0.81765,0.57745,1.17144,0.000442488,0.000442488,0.000442488
70,1336.69,0.88878,0.68439,1.23187,0.89906,0.87344,0.88365,0.68713,0.839,0.63751,1.21139,0.000439186,0.000439186,0.000439186
71,1355.8,0.9036,0.69721,1.23829,0.88892,0.8701,0.88936,0.69774,0.85481,0.63474,1.21132,0.000435884,0.000435884,0.000435884
72,1374.18,0.81083,0.695,1.17827,0.88908,0.83916,0.88336,0.70344,0.80791,0.6483,1.1752,0.000432583,0.000432583,0.000432583
73,1392.84,0.84518,0.67095,1.1958,0.92574,0.89534,0.89351,0.70187,0.8385,0.57566,1.18183,0.000429281,0.000429281,0.000429281
74,1412.1,0.84622,0.66978,1.20124,0.94351,0.88386,0.88573,0.70873,0.77754,0.57826,1.13841,0.00042598,0.00042598,0.00042598
75,1430.43,0.85305,0.65899,1.21957,0.91194,0.85877,0.86705,0.6826,0.80826,0.63169,1.15762,0.000422678,0.000422678,0.000422678
76,1449.42,0.84587,0.66836,1.218,0.92328,0.87981,0.87947,0.70195,0.80123,0.6097,1.17273,0.000419376,0.000419376,0.000419376
77,1467.61,0.83372,0.64142,1.21224,0.92392,0.88738,0.90851,0.70952,0.80126,0.59344,1.16428,0.000416075,0.000416075,0.000416075
78,1486.59,0.84064,0.66453,1.20146,0.92452,0.87635,0.93636,0.71883,0.76114,0.5449,1.1342,0.000412773,0.000412773,0.000412773
79,1504.6,0.81615,0.64608,1.18472,0.95306,0.88799,0.90221,0.72482,0.76694,0.54881,1.13829,0.000409471,0.000409471,0.000409471
80,1523.61,0.8025,0.60846,1.1713,0.88413,0.87644,0.84552,0.6745,0.80481,0.63517,1.16461,0.00040617,0.00040617,0.00040617
81,1542.47,0.80233,0.62935,1.14187,0.89625,0.87311,0.88915,0.70323,0.77282,0.55666,1.12088,0.000402868,0.000402868,0.000402868
82,1561.32,0.83307,0.63909,1.1951,0.9311,0.88584,0.91137,0.72292,0.76574,0.56762,1.12768,0.000399566,0.000399566,0.000399566
83,1580.76,0.80585,0.63083,1.17033,0.92684,0.88469,0.88845,0.68463,0.81812,0.58578,1.1716,0.000396265,0.000396265,0.000396265
84,1599.3,0.76604,0.58895,1.13044,0.9327,0.88775,0.8935,0.73928,0.74127,0.55287,1.13747,0.000392963,0.000392963,0.000392963
85,1618.62,0.8301,0.62344,1.18553,0.93712,0.87919,0.89765,0.7303,0.70809,0.57384,1.10039,0.000389661,0.000389661,0.000389661
86,1636.85,0.79442,0.62778,1.15348,0.93989,0.88193,0.88005,0.71769,0.70958,0.51776,1.09087,0.00038636,0.00038636,0.00038636
87,1655.82,0.85445,0.67774,1.22402,0.92389,0.88168,0.86271,0.69625,0.74,0.54877,1.11364,0.000383058,0.000383058,0.000383058
88,1674.19,0.79969,0.62085,1.16833,0.93627,0.89732,0.88575,0.72665,0.73214,0.50347,1.10401,0.000379756,0.000379756,0.000379756
89,1692.78,0.7888,0.57884,1.15686,0.95694,0.87534,0.88218,0.69635,0.74858,0.55044,1.13102,0.000376455,0.000376455,0.000376455
90,1711.3,0.8059,0.59368,1.14255,0.91947,0.87616,0.88197,0.70255,0.76713,0.5306,1.13478,0.000373153,0.000373153,0.000373153
91,1729.32,0.83387,0.70239,1.19746,0.92096,0.87598,0.89297,0.7352,0.72119,0.52579,1.09592,0.000369851,0.000369851,0.000369851
92,1748.79,0.75494,0.58191,1.12992,0.94807,0.89223,0.89808,0.7216,0.75003,0.52308,1.1012,0.00036655,0.00036655,0.00036655
93,1767.42,0.77518,0.61975,1.12243,0.94112,0.88365,0.89487,0.70618,0.73827,0.51848,1.11909,0.000363248,0.000363248,0.000363248
94,1787.29,0.75938,0.56786,1.12467,0.9408,0.88923,0.9217,0.73298,0.74088,0.49531,1.11287,0.000359947,0.000359947,0.000359947
95,1805.62,0.79391,0.60026,1.15783,0.94535,0.89471,0.87885,0.69987,0.75058,0.50748,1.11728,0.000356645,0.000356645,0.000356645
96,1824.95,0.79707,0.60975,1.16311,0.95313,0.88406,0.88584,0.7269,0.69271,0.46853,1.07784,0.000353343,0.000353343,0.000353343
97,1843.36,0.78791,0.60674,1.16984,0.94737,0.87893,0.89343,0.73175,0.69594,0.5037,1.07406,0.000350042,0.000350042,0.000350042
98,1862.53,0.76832,0.60705,1.16075,0.9268,0.85456,0.8872,0.70046,0.80782,0.55671,1.14723,0.00034674,0.00034674,0.00034674
99,1881.43,0.79767,0.58725,1.16589,0.92344,0.88391,0.93742,0.72084,0.76203,0.51747,1.11431,0.000343438,0.000343438,0.000343438
100,1899.5,0.77219,0.56304,1.14834,0.92959,0.89899,0.90957,0.7463,0.70144,0.48761,1.06447,0.000340137,0.000340137,0.000340137
101,1918.4,0.73488,0.54283,1.11741,0.93618,0.89491,0.93015,0.74864,0.68983,0.47128,1.07356,0.000336835,0.000336835,0.000336835
102,1936.64,0.72773,0.54128,1.09654,0.94158,0.87836,0.93924,0.75182,0.71013,0.49845,1.07966,0.000333533,0.000333533,0.000333533
103,1955.65,0.8268,0.58944,1.16242,0.93734,0.89021,0.94127,0.76814,0.71708,0.51744,1.09442,0.000330232,0.000330232,0.000330232
104,1974.28,0.77299,0.63215,1.16436,0.94644,0.8944,0.89234,0.70328,0.79465,0.51989,1.14361,0.00032693,0.00032693,0.00032693
105,1994.06,0.7339,0.5431,1.10717,0.94119,0.89478,0.8987,0.72061,0.7271,0.47026,1.08644,0.000323628,0.000323628,0.000323628
