epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,3429.79,0.59491,0.41242,1.02289,0.93605,0.89828,0.90352,0.75648,0.61068,0.38661,1.0068,7.2703e-05,7.2703e-05,7.2703e-05
182,3448.83,0.61007,0.43921,1.04626,0.93862,0.89773,0.90352,0.75277,0.60693,0.37855,1.003,6.94013e-05,6.94013e-05,6.94013e-05
183,3467.01,0.60603,0.42049,1.02282,0.93638,0.89839,0.9042,0.7531,0.59549,0.37979,1.00038,6.60997e-05,6.60997e-05,6.60997e-05
184,3485.51,0.65187,0.45596,1.03474,0.93735,0.89899,0.90658,0.7627,0.58942,0.37049,0.99364,6.2798e-05,6.2798e-05,6.2798e-05
185,3504.43,0.58726,0.40921,1.02224,0.93606,0.89311,0.90461,0.7711,0.5848,0.37008,0.99477,5.94964e-05,5.94964e-05,5.94964e-05
186,3522.66,0.60659,0.41574,1.02623,0.93244,0.89268,0.89082,0.75219,0.59167,0.37081,1.00018,5.61947e-05,5.61947e-05,5.61947e-05
187,3542.13,0.59526,0.43598,1.0033,0.93589,0.89899,0.88698,0.74679,0.59001,0.37196,0.99527,5.28931e-05,5.28931e-05,5.28931e-05
188,3559.93,0.58161,0.40702,1.01123,0.93721,0.89899,0.89214,0.74848,0.59065,0.37433,0.99645,4.95914e-05,4.95914e-05,4.95914e-05
189,3579.41,0.58713,0.40865,1.02163,0.93883,0.89859,0.89449,0.74328,0.59194,0.3804,0.9984,4.62898e-05,4.62898e-05,4.62898e-05
190,3598.19,0.58492,0.41247,1.02153,0.93719,0.89845,0.90723,0.76248,0.58684,0.38018,0.99655,4.29882e-05,4.29882e-05,4.29882e-05
191,3619.96,0.57981,0.40264,0.99972,0.94627,0.8932,0.89752,0.76771,0.58513,0.38623,0.99547,3.96865e-05,3.96865e-05,3.96865e-05
192,3638.33,0.54944,0.38542,0.99578,0.94546,0.88758,0.88824,0.76585,0.59531,0.39661,0.99534,3.63849e-05,3.63849e-05,3.63849e-05
193,3656.76,0.57364,0.45191,1.00348,0.95086,0.88802,0.88905,0.76709,0.60248,0.3959,0.99522,3.30832e-05,3.30832e-05,3.30832e-05
194,3675.55,0.52206,0.37034,0.98377,0.9448,0.88794,0.88816,0.76055,0.60032,0.39919,0.99469,2.97816e-05,2.97816e-05,2.97816e-05
195,3693.75,0.532,0.41732,0.98468,0.94339,0.88813,0.89269,0.7588,0.59888,0.40272,0.9952,2.64799e-05,2.64799e-05,2.64799e-05
196,3712.56,0.52066,0.36517,0.99453,0.94081,0.89112,0.89652,0.75501,0.59454,0.39341,0.99303,2.31783e-05,2.31783e-05,2.31783e-05
197,3730.61,0.52896,0.3617,0.9971,0.94212,0.89253,0.89835,0.76265,0.59064,0.39298,0.99355,1.98766e-05,1.98766e-05,1.98766e-05
198,3749.6,0.52726,0.3521,0.9837,0.95066,0.89383,0.89074,0.75158,0.58862,0.39126,0.99297,1.6575e-05,1.6575e-05,1.6575e-05
199,3768.5,0.50472,0.34557,0.95716,0.95211,0.89364,0.89519,0.75389,0.58699,0.3857,0.99049,1.32733e-05,1.32733e-05,1.32733e-05
200,3786.69,0.50523,0.35027,0.97645,0.95355,0.89255,0.89451,0.75684,0.58714,0.38636,0.99129,9.97165e-06,9.97165e-06,9.97165e-06
